City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
153,Constitucion,-35.33,-72.42,63.3,67,0,5.93,CL,2020-02-23 15:37:30,clear sky,0.0,0.0
154,Somanda,-3.37,33.95,83.1,59,40,8.16,TZ,2020-02-23 15:38:53,scattered clouds,0.0,0.0
155,Deputatskiy,69.3,139.9,-20.65,96,48,3.18,RU,2020-02-23 15:38:54,scattered clouds,0.0,0.0
156,Ornskoldsvik,63.29,18.72,39.2,64,75,19.46,SE,2020-02-23 15:38:54,broken clouds,0.0,0.0
157,Balkhash,46.84,74.98,16.2,86,17,12.28,KZ,2020-02-23 15:38:54,few clouds,0.0,0.0
158,Domoni,-12.26,44.53,85.78,70,100,5.88,KM,2020-02-23 15:38:54,moderate rain,3.63,0.0
159,Erenhot,43.65,111.98,25.88,73,11,6.91,CN,2020-02-23 15:38:54,few clouds,0.0,0.0
160,Chokurdakh,70.63,147.92,-20.65,99,96,2.82,RU,2020-02-23 15:38:55,overcast clouds,0.0,0.0
161,Mancio Lima,-7.61,-72.9,77.0,88,90,6.93,BR,2020-02-23 15:38:55,overcast clouds,0.0,0.0
162,Sao Joao Da Barra,-21.64,-41.05,80.6,57,75,11.41,BR,2020-02-23 15:38:55,broken clouds,0.0,0.0
163,Upernavik,72.79,-56.15,-16.1,77,0,7.18,GL,2020-02-23 15:38:55,clear sky,0.0,0.0
164,Saldanha,-33.01,17.94,87.8,18,0,24.16,ZA,2020-02-23 15:38:55,clear sky,0.0,0.0
165,Williams Lake,52.14,-122.14,26.6,63,90,10.29,CA,2020-02-23 15:35:02,light shower snow,0.0,0.0
166,Luebo,-5.35,21.42,76.21,79,100,3.76,CD,2020-02-23 15:38:56,overcast clouds,0.0,0.0
167,Avarua,-21.21,-159.78,78.8,94,100,3.36,CK,2020-02-23 15:38:56,light rain,0.0,0.0
168,Yerofey Pavlovich,53.97,121.97,4.8,88,99,3.65,RU,2020-02-23 15:38:56,overcast clouds,0.0,0.0
169,Katsuura,35.13,140.3,46.4,39,20,21.92,JP,2020-02-23 15:38:57,few clouds,0.0,0.0
170,Longyearbyen,78.22,15.64,-2.2,70,20,9.17,SJ,2020-02-23 15:35:13,few clouds,0.0,0.0
171,Charters Towers,-20.1,146.27,73.92,92,100,9.75,AU,2020-02-23 15:38:57,light rain,0.31,0.0
172,Kaeo,-35.1,173.78,57.99,86,0,4.0,NZ,2020-02-23 15:38:57,clear sky,0.0,0.0
173,Sur,22.57,59.53,72.01,67,1,3.11,OM,2020-02-23 15:38:58,clear sky,0.0,0.0
174,Torbay,47.67,-52.73,37.99,69,20,23.04,CA,2020-02-23 15:35:13,few clouds,0.0,0.0
175,Hambantota,6.12,81.12,78.8,100,20,10.29,LK,2020-02-23 15:38:58,few clouds,0.0,0.0
176,Angoche,-16.23,39.91,85.5,85,100,3.11,MZ,2020-02-23 15:38:58,light rain,1.75,0.0
177,Vila Velha,-20.33,-40.29,75.2,83,90,8.05,BR,2020-02-23 15:38:59,light rain,0.0,0.0
178,Sambava,-14.27,50.17,76.03,97,100,0.56,MG,2020-02-23 15:38:59,moderate rain,5.0,0.0
179,Saint-Augustin,51.23,-58.65,30.18,82,100,22.68,CA,2020-02-23 15:38:59,overcast clouds,0.0,0.0
180,Santana Do Livramento,-30.89,-55.53,72.37,48,0,6.6,BR,2020-02-23 15:38:59,clear sky,0.0,0.0
181,Quirinopolis,-18.45,-50.45,81.95,71,100,3.44,BR,2020-02-23 15:39:00,overcast clouds,0.0,0.0
182,Sulangan,11.14,123.72,79.77,80,0,16.98,PH,2020-02-23 15:39:00,light rain,0.44,0.0
183,Mahibadhoo,3.78,72.97,82.62,81,48,21.34,MV,2020-02-23 15:39:00,light rain,1.06,0.0
184,Oyama,36.3,139.8,48.0,41,0,4.0,JP,2020-02-23 15:39:00,clear sky,0.0,0.0
185,Tiarei,-17.53,-149.33,77.0,78,37,2.24,PF,2020-02-23 15:39:01,light rain,0.69,0.0
186,Severo-Kurilsk,50.68,156.12,22.28,96,100,43.2,RU,2020-02-23 15:39:01,snow,0.0,4.13
187,Samur,41.83,48.49,44.53,82,32,9.35,RU,2020-02-23 15:39:01,scattered clouds,0.0,0.0
188,Saint-Pierre,-21.34,55.48,80.6,69,75,4.7,RE,2020-02-23 15:39:02,broken clouds,0.0,0.0
189,Oistins,13.07,-59.53,86.0,70,75,17.22,BB,2020-02-23 15:37:04,shower rain,0.0,0.0
190,Basoko,1.24,23.62,95.14,28,22,2.46,CD,2020-02-23 15:39:06,few clouds,0.0,0.0
191,Ketchikan,55.34,-131.65,39.2,79,90,3.29,US,2020-02-23 15:39:07,overcast clouds,0.0,0.0
192,Esperance,-33.87,121.9,66.2,88,90,14.99,AU,2020-02-23 15:39:07,overcast clouds,0.0,0.0
193,Petukhovo,55.07,67.9,19.87,95,98,6.24,RU,2020-02-23 15:39:07,overcast clouds,0.0,0.0
194,Kaitangata,-46.28,169.85,57.99,80,99,1.99,NZ,2020-02-23 15:39:07,overcast clouds,0.0,0.0
195,Jinchang,38.5,102.17,34.0,31,100,13.4,CN,2020-02-23 15:39:08,overcast clouds,0.0,0.0
196,Jadu,31.95,12.03,60.6,39,0,10.22,LY,2020-02-23 15:39:08,clear sky,0.0,0.0
197,Sawtell,-30.38,153.1,66.99,100,90,8.05,AU,2020-02-23 15:39:08,overcast clouds,0.0,0.0
198,Paamiut,61.99,-49.67,19.15,90,100,13.33,GL,2020-02-23 15:39:08,snow,0.0,1.69
199,Lata,40.16,-8.33,78.01,40,0,8.05,PT,2020-02-23 15:39:08,clear sky,0.0,0.0
200,Russell,32.35,-85.2,51.01,39,1,3.36,US,2020-02-23 15:39:09,clear sky,0.0,0.0
201,Cherskiy,68.75,161.3,-25.83,92,65,6.22,RU,2020-02-23 15:39:01,broken clouds,0.0,0.0
202,Poronaysk,49.22,143.12,15.49,86,99,4.85,RU,2020-02-23 15:39:09,overcast clouds,0.0,0.0
203,Okhotsk,59.38,143.3,-12.26,91,0,4.9,RU,2020-02-23 15:39:09,clear sky,0.0,0.0
204,Vardo,70.37,31.11,24.8,92,75,10.29,NO,2020-02-23 15:39:09,broken clouds,0.0,0.0
205,Zhigansk,66.77,123.37,-15.23,100,93,6.69,RU,2020-02-23 15:39:10,overcast clouds,0.0,0.0
206,Avesta,60.15,16.17,44.6,35,0,18.34,SE,2020-02-23 15:39:10,clear sky,0.0,0.0
207,Lompoc,34.64,-120.46,51.8,81,90,4.7,US,2020-02-23 15:37:15,overcast clouds,0.0,0.0
208,Aklavik,68.22,-135.01,-4.0,76,90,6.93,CA,2020-02-23 15:39:10,overcast clouds,0.0,0.0
