City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Berdigestyakh,RU,2020-02-22 18:47:06,62.1,126.7,-0.2,97,100,3.83
152,Strelka,RU,2020-02-22 18:57:06,58.07,93.03,21.07,96,100,2.77
153,Keti Bandar,PK,2020-02-22 18:57:06,24.14,67.45,73.69,50,0,9.17
154,Georgetown,MY,2020-02-22 18:49:56,5.41,100.34,80.6,78,20,3.36
155,Vostok,RU,2020-02-22 18:49:59,46.49,135.88,9.01,96,100,6.08
156,Jamestown,US,2020-02-22 18:49:41,42.1,-79.24,39.99,47,1,12.75
157,Camocim,BR,2020-02-22 18:57:07,-2.9,-40.84,75.76,93,100,6.02
158,Livani,LV,2020-02-22 18:57:07,56.35,26.18,38.79,91,100,20.09
159,Hovd,MN,2020-02-22 18:51:17,48.01,91.64,18.55,65,100,2.8
160,Victoria,HK,2020-02-22 18:48:06,22.29,114.16,66.99,77,20,19.46
161,Aklavik,CA,2020-02-22 18:57:08,68.22,-135.01,-0.4,83,75,3.36
162,Busselton,AU,2020-02-22 18:49:34,-33.65,115.33,66.99,65,3,9.4
163,Talnakh,RU,2020-02-22 18:45:59,69.49,88.4,8.6,92,100,20.13
164,Saskylakh,RU,2020-02-22 18:45:56,71.92,114.08,-16.1,94,73,4.12
165,Tukrah,LY,2020-02-22 18:57:09,32.53,20.58,56.12,72,94,18.95
166,Lagoa,PT,2020-02-22 18:49:46,39.05,-27.98,60.17,79,8,12.39
167,Houston,US,2020-02-22 18:55:52,29.76,-95.36,63.0,44,1,6.93
168,Sur,OM,2020-02-22 18:51:25,22.57,59.53,70.09,77,8,2.89
169,Suifenhe,CN,2020-02-22 18:57:10,44.4,131.17,9.68,74,54,17.56
170,San Patricio,MX,2020-02-22 18:49:39,19.22,-104.7,86.0,74,20,9.17
171,Am Timan,TD,2020-02-22 18:57:10,11.03,20.28,86.18,13,3,3.91
172,Ambon,ID,2020-02-22 18:53:27,-3.7,128.18,82.4,78,40,5.82
173,San Cristobal,VE,2020-02-22 18:46:09,7.77,-72.22,82.4,65,40,6.93
174,Kinsale,IE,2020-02-22 18:57:10,51.71,-8.53,46.0,87,75,16.11
175,Necochea,AR,2020-02-22 18:50:04,-38.55,-58.74,75.99,67,0,5.99
176,Varazdin,HR,2020-02-22 18:57:11,46.3,16.34,46.99,52,75,6.93
177,Ponta Do Sol,PT,2020-02-22 18:50:03,32.67,-17.1,70.0,72,20,16.11
178,Wanlaweyn,SO,2020-02-22 18:57:11,2.62,44.89,81.72,67,66,18.61
179,Yangambi,CD,2020-02-22 18:57:11,0.81,24.43,81.36,44,100,1.63
180,Fethiye,TR,2020-02-22 18:57:11,36.62,29.12,50.0,71,75,17.22
181,Beloha,MG,2020-02-22 18:51:21,-25.17,45.05,76.82,84,40,2.3
182,Naron,ES,2020-02-22 18:57:12,43.52,-8.15,54.0,87,0,1.12
183,Niono,ML,2020-02-22 18:55:32,14.25,-5.99,96.89,6,53,9.06
184,Thanh Hoa,VN,2020-02-22 18:52:35,19.8,105.77,65.73,85,0,3.2
185,Qaqortoq,GL,2020-02-22 18:46:37,60.72,-46.03,21.2,31,75,12.75
186,Praia Da Vitoria,PT,2020-02-22 18:57:13,38.73,-27.07,62.6,67,40,4.29
